job_title,job_country,job_city,job_category,job_responsibility,job_available
26,25924-运营开发高级工程师（上海）,中国,上海,技术,"负责游戏平台公共支撑组件的设计和研发；
负责硬件资源服务器上的组件设计和研发；
负责游戏在线营销管理平台的设计和研发；
负责游戏在线营销公共组件平台的设计和研发。",True
27,25924-运营开发高级工程师（上海）,中国,上海,技术,"负责游戏在线营销活动、营销系统的开发、运营；
 负责游戏官方网站建设的各类应用的开发、运营；
 负责游戏运营系统及组件的技术攻坚和维护优化。",True
28,25924-运营开发高级工程师（上海）,中国,上海,技术,"负责游戏在线营销活动、营销系统的开发、运营；
 负责游戏官方网站建设的各类应用的开发、运营；
 负责游戏运营系统及组件的技术攻坚和维护优化。",True
29,15579-游戏运营开发工程师（深圳）,中国,深圳,技术,"负责游戏运营平台的前后端架构设计和开发；
负责优化、改进运营平台，并保证其安全高效稳定的运行；
参与运营平台的需求分析、技术架构，文档撰写等工作。",True
30,TEG09-云架构平台运营开发工程师（深圳）,中国,深圳,技术,"负责海量云计算平台的资源运营、核算管理、计费、大数据分析等相关的运营开发工作；
参与系统的需求分析、设计、编码等开发工作；
参与相关系统的运营和维护工作，保证系统稳定可靠运行。",True
31,25926-运营开发工程师（深圳）,中国,深圳,技术,"负责游戏安全用户服务产品的技术设计与开发；
负责游戏安全系统运营支撑平台架构规划与开发；
负责游戏安全大数据平台、数据分析计算产品的设计与开发。",True
32,25924-运营开发高级工程师（上海）,中国,上海,技术,"负责腾讯IEG游戏平台组件的设计和研发； 
负责IEG业务服务过程中的全局的架构、中间件研发和支撑工作； 
负责IEG游戏在线营销管理平台的设计和研发； ",True
33,WXG10-企业微信企业邮运营开发工程师,中国,广州,技术,负责企业邮箱反垃圾与业务运营平台的设计和开发,True
34,21882-腾讯医典运营开发工程师（深圳）,中国,深圳,技术,负责腾讯医典大数据实时传输、存储、实时计算、离线计算等底层基础支撑框架的开发和运营,True
35,31504-腾讯云服务产品高级运营开发工程师,中国,深圳,技术,"1，负责腾讯云服务支持系统的后端研发，通过服务流程改进，平台工具建设，数据分析驱动等方式，帮助腾讯云服务效能提升和产品体验改进。
2，独立承担相关业务的web开发任务，完成系统设计，功能开发，测试验证和灰度发布，确保开发质量和开发效率。
3，负责整个代码架构的持续优化和技术改进，通过技术改进提升团队工作效率和质量。
4，能够快速响应并定位解决线上突发问题。",True
36,25923-游戏技术运营开发工程师,中国,深圳,技术,"负责支持团队运维工具和运营数据需求，包括不限于工具平台、数据处理、交互分析等建模和运营开发工作；
负责开发海量离线数据分析计算模块和数据展示平台，为数据可视化工具提供数据支持；
负责开发冷数据存储通路，状态数据的分析、元数据管理，优化时序数据操作；
负责构建统一的数据计算模型、管理与治理机制，确保整个数据链路合理，数据计算高效；
关注开源技术动态，推动平台技术架构持续更新。",True
37,28937-游戏运营开发高级工程师（Game Client-side DevOps Engineer）,中国,深圳,技术,"负责搭建和维护游戏项目的构建环境及流程；
负责开发构建工具优化构建效率；
负责升级和维护 Unity／UE4 引擎版本。
Responsible for establishing and maintaining the build environment and process of game projects;
Responsible for developing tools to improve build efficiency of builds;
Responsible for upgrading and maintaing of Unity / UE4 engine versions.",True
