job_title,job_country,job_city,job_category,job_responsibility,job_available
18,TEG17-自然语言处理研究员（深圳）,中国,深圳,技术,负责对话人工智能以及问答系统等前沿问题的研究，结合未来实际应用场景，提供技术解决方案。,True
19,20503-优图AI嵌入式开发工程师,中国,上海,技术,"负责AI硬件上的嵌入式底层开发，包括驱动、文件系统等开发、移植、优化；
负责嵌入式应用的架构设计与开发，包括算法移植、优化、应用功能的开发；",True
20,27455-5G解决方案专家,中国,深圳,技术,"1，结合5G新场景，能够快速将新技术转化为poc和实际功能模块，落地移动互联网及产业互联网相关应用，提升相关产品在5G网络中的竞争力；
2，进行基于业务的方案设计、技术研究、原型机搭建等，并能与工程团队衔接，快速形成解决方案和落地能力；
3，相关新技术探索，包括不限于边缘计算、视频传输、网络协议栈、路由、QoS加速等。
",True
21,22989-人工智能服务平台-产品经理,中国,深圳,产品,"1. 负责AI平台方向的产品规划和设计
2. 能够基于公司战略、客户需求和产品发展方向制定具体产品优化计划，探索AI能力与产业智慧升级的结合点
3. 把握行业趋势，定期跟踪、分析行业动态及竞品，并提出相应的产品对策
4. 可独立完成产品调研、设计、协调内外部资源，高质量地完成项目落地，参与产品运营和推广，并通过效果分析，不断推动产品优化",True
22,TEG11-视频检索算法研究员,中国,深圳,技术,"负责计算机视觉及视频检索的相关工作，包括但不限于image/video retrieval，image/video-text matching，参与微信搜索相关工作； 
负责图像、视频处理，分析和理解，包括但不限于大规模图像检索，图像分类，目标检测和分割，视频动作识别;
探索与跟进前沿技术，推动计算机视觉算法和深度学习在实际应用领域的性能优化和落地。",True
23,20503-优图人脸活体检测算法研究员,中国,上海,技术,"1) 负责跨场景人脸活体检测技术研究；
2) 负责新型硬件活体算法研究。
",True
24,20503-优图行业解决方案研发工程师,中国,上海,技术,"1）负责开发基于深度学习的高性能人脸、图像、视频处理算法的解决方案，应用于智慧零售、公有云、智慧社区、智慧金融等领域；
2）主要场景包括但不限于：人脸识别检索、人脸聚类分析、人体检测分析、行为轨迹分析、区域坐标标定等，使用的典型算法包括但不限于人脸检测、人脸识别、人体检测、人脸聚类、人体轨迹跟踪、区域坐标标定等。
",True
25,20503-优图人脸识别算法研究员,中国,上海,技术,"1) 负责超大规模超高精度人脸识别算法优化；
2) 负责金融级人脸识别方案落地及效果性能优化。
",True
26,20503-优图内容安全视觉算法研究员,中国,上海,技术,"负责内容审核相关的视觉AI算法研究，具体包括：
1.负责图像内容理解、视频内容理解等前沿技术的研究，跟进并保持行业领先水平；
2.设计AI视觉算法，对互联网平台上的图片、视频中的恶意元素进行检出，与各类恶意内容持续对抗，维护互联网平台的内容健康 
3.与内容业务团队协调与沟通，满足内容安全产品中的各种cv技术需求
",True
27,TEG17-深度学习研究员（深圳）,中国,深圳,技术,"该岗位为机器学习和人工智能方向。主要职责包括但不限于：
负责机器学习（尤其是深度学习领域）的理论研究和算法、模型开发，包括但不限于：神经网络模型设计，元学习，自动超参数优化，在线学习和各种优化方法尝试
对业界经典算法和模型进行分布式版本开发，实现加速，丰富公司内部的公用并行算法库
对机器学习尤其是深度学习、元学习等前沿问题进行探索与研究，结合未来实际应用场景，提供全面的技术解决方案
对计算机视觉、语音识别、自然语言处理等领域提供模型支持，进行创新研究和落地产品开发",True
