job_title,job_country,job_city,job_category,job_responsibility,job_available
15,25666-腾讯云智慧建筑及文旅地产商务拓展（上海）,中国,上海,销售、服务与支持,"1.负责腾讯云智慧建筑园区等基于物联网方案在大众与客户层面的认知与推广，有效维系现有客户与开拓新客户，帮助团队进行相关的业务增长与行业拓展，提高销售额及利润；
2.内部跨部门跨行业合作及提供支持，推动腾讯云智慧建筑园区等物联网产品和方案的整合与聚焦，帮助行业团队完善特色方案，输出方案营销资料；
3.制定客户计划，推动行业方案落地；
4.具备调研能力，了解市场及行业客户对物联网的实际需求，发现新的商机，新的合作伙伴，新的需求点和交付方式；
5.根据客户对云计算和物联网的需求，规划腾讯云物联网行业定位、客户群体分析、营销策略，行业资源及方案整合；
6.协调技术、运营、市场及营销等团队，跨部门跨公司协作，打造行业端到端的特色方案
7.帮助完成团队销售任务。
",True
16,25666-腾讯云智慧建筑及文旅地产商务拓展（广州）,中国,广州,销售、服务与支持,"1.负责腾讯云智慧建筑园区等基于物联网方案在大众与客户层面的认知与推广，有效维系现有客户与开拓新客户，帮助团队进行相关的业务增长与行业拓展，提高销售额及利润；
2.内部跨部门跨行业合作及提供支持，推动腾讯云智慧建筑园区等物联网产品和方案的整合与聚焦，帮助行业团队完善特色方案，输出方案营销资料；
3.制定客户计划，推动行业方案落地；
4.具备调研能力，了解市场及行业客户对物联网的实际需求，发现新的商机，新的合作伙伴，新的需求点和交付方式；
5.根据客户对云计算和物联网的需求，规划腾讯云物联网行业定位、客户群体分析、营销策略，行业资源及方案整合；
6.协调技术、运营、市场及营销等团队，跨部门跨公司协作，打造行业端到端的特色方案
7.帮助完成团队销售任务。
",True
17,25666-腾讯云智慧建筑及文旅地产商务拓展（深圳）,中国,深圳,销售、服务与支持,"1.负责腾讯云智慧建筑园区等基于物联网方案在大众与客户层面的认知与推广，有效维系现有客户与开拓新客户，帮助团队进行相关的业务增长与行业拓展，提高销售额及利润；
2.内部跨部门跨行业合作及提供支持，推动腾讯云智慧建筑园区等物联网产品和方案的整合与聚焦，帮助行业团队完善特色方案，输出方案营销资料；
3.制定客户计划，推动行业方案落地；
4.具备调研能力，了解市场及行业客户对物联网的实际需求，发现新的商机，新的合作伙伴，新的需求点和交付方式；
5.根据客户对云计算和物联网的需求，规划腾讯云物联网行业定位、客户群体分析、营销策略，行业资源及方案整合；
6.协调技术、运营、市场及营销等团队，跨部门跨公司协作，打造行业端到端的特色方案
7.帮助完成团队销售任务。
",True
18,25666-金融云商务拓展经理（北京/上海/深圳）,中国,北京,销售、服务与支持,"负责腾讯云计算服务等相关产品在金融行业的商务工作，包括目标客户的开发与维护及跟进，达成制定的商务指标；
定期拜访目标客户，积极引导金融行业客户和挖掘客户云需求，制定合理方案，负责方案提示、谈判，追踪公司相关部门的工作，保证方案的有效实施；
维持与现有大客户的良好业务关系，及时更新公司产品信息，传达企业及品牌文化；
建立大客户档案，确保各项资料完整，准确，并做好动态管理。",True
19,PCG22-头部KOL商务拓展,中国,深圳,产品,"熟悉了解各短视频和直播平台，了解MCN及相关产业生态。
3年以上MCN对接或KOL资源开发经历，有一定资源积累；
对KOL的人设、粉丝受众、发展情况和议价能力有鉴别和判断能力；
有一定策划能力，参与制定与KOL的合作方向与合作内容；
有创新精神，主动思考，自我驱动，有团队精神；",True
20,WXG11-微信读书（高级）商务拓展经理,中国,广州,销售、服务与支持,"1、微信读书内容引入拓展，发掘并引入市场中电子书、有声书、漫画等优质内容，同时为内容在多方渠道的运营推广做支持；
2、参与平台CP运营策略的制定，优化内容生态的建设；
3、与出版社、有声书、漫画等CP紧密合作，协调优质内容的引入及发行。
4、围绕IP内容的活动推广，与相关IP内容、IP人物、IP衍生物等沟通达成深度合作，共同提升IP的影响力和传播力。",True
21,34543-智慧政法合作部商务拓展经理（北京）,中国,北京,法律与公共策略,"1）负责政法行业客户的商务拓展工作； 
2）负责大客户关系管理、合作伙伴关系管理，市场策略制定； 
3）整合公司及合作伙伴资源，为客户提供最佳行业解决方案； 
4）聚焦在政法领域，制定行业/区域打法，并跟进重点项目，以达成公司制定的任务目标和KPI考核目标。",True
22,GY0-腾讯云海外商务拓展（深圳）,中国,深圳,销售、服务与支持,"本科及以上学历，毕业后有IT项目开发集成经验者优先；
5年以上相关工作经验，对传统IT有深刻的认识，对互联网+有一定的了解，熟悉云计算、大数据分析和移动互联网，对新技术、新商业模式有激情；
有较强的分析能力和创新精神，有行业经验者优先；
有较强的沟通协调能力，具备良好的团队合作精神，执行能力强，勇于承担高强度的工作压力；",True
23,GY0-腾讯广告海外高级商务拓展经理（中东市场）（深圳）,中国,深圳,销售、服务与支持,"腾讯广告海外销售，负责拓展管理海外直客，代理商；
针对不同海外客户进行广告创意的输出和整体方案的撰写；
实现潜在客户的转化，跟进进展并促进最后客户落地成单；
利用多种渠道搜集销售线索，拓展新客户，渠道包括且不限于行业研讨会，参与行业会议演讲和公关新闻发布；
与内部运营协作，根据行业趋势和客户需求分析制定具体的销售和投放计划；
建立客户关系维护、管理体系；
积极推动市场拓展业务和参与其他市场活动。",True
24,34543-智慧政法合作部华东区域商务拓展经理 （上海、南京）（南京）,中国,南京,法律与公共策略,"负责华东区域政法行业客户的商务拓展工作； 
负责华东区域大客户关系管理、合作伙伴关系管理，市场策略制定； 
整合公司及华东区域合作伙伴资源，为客户提供最佳行业解决方案； 
聚焦华东区域政法领域，制定行业/区域打法，并跟进重点项目，以达成公司制定的任务目标和KPI考核目标。
",True
