job_title,job_country,job_city,job_category,job_responsibility,job_available
30,22989-腾讯云视频&通信后台开发工程师（深圳/上海）,中国,深圳,技术,"1、负责通信与视频相关云产品后台系统的设计和开发，包括但不限于云通信、云直播、云点播、云游戏、云剪、导播台等；
2、通过技术手段控制和优化成本，提升资源使用率。",True
31,PCG22-创新项目后台开发TL（深圳）,中国,深圳,技术,"负责搭建适用于高效敏捷开发迭代的业务后台系统，包括系统架构设计和关键模块的技术方案，支持产品需求的高效落地；
持续对系统的架构、性能进行改进和优化，同时负责团队基础功能组件、中台能力的规划和积累；
负责后台开发团队的建设和管理。",True
32,25664-后台开发工程师（腾讯云全资子公司）（西安）,中国,西安,技术,"负责ToB，ToG协同产品后台模块设计和开发；
负责产品后台新功能迭代开发，保证按时高质量项目交付；
撰写相关技术文档，以及跨团队协作。
",True
33,35597-腾讯看点后台开发工程师,中国,深圳,技术,"1、负责腾讯看点后台功能开发，实现产品需求
2、负责看点快报后台系统优化，提高后台的性能和可用性
3、负责快报、浏览器后台系统整合，提高研发效率",True
34,25663-GSE后台开发（腾讯云全资子公司）,中国,西安,技术,"负责游戏服务平台架构设计以及性能优化；
负责参与相关产品需求讨论，平台核心技术的研究与实现；
负责游戏服务平台版本开发工作；
负责游戏服务平台系统设计开发以及日常运营开发工作。
",True
35,25663-游戏服务端引擎后台开发（腾讯云全资子公司）,中国,西安,技术,"负责游戏服务端引擎架构设计以及性能优化；
负责参与相关产品需求讨论，核心技术的研究与实现；
负责游戏服务端引擎版本开发工作；
负责游戏服务端引擎系统设计开发以及日常运营开发工作。
",True
36,27092-分布式后台开发高级工程师（深圳）,中国,深圳,技术,"负责商业中台推荐系统和商业资源管理系统的系统设计和开发；
负责达人带货电商推荐系统的开发。",True
37,22989-大数据应用后台开发工程师(深圳),中国,深圳,技术,"负责大数据应用相关产品的后台架构设计、开发与优化；
负责大数据应用项目的数据流设计与开发，以及算法的部署落地；
负责数据后台与上层SaaS系统的对接，以及大数据应用项目的交付工作。",True
38,CSIG02-智慧教育后台开发工程师（腾讯云全资子公司）,中国,长沙,技术,"负责智慧教育系统后台研发工作；
参与项目交付方案设计和标准化产品开发；
参与后台各个系统的架构设计、评审和代码开发，以及技术难题的攻坚和优化；
参与方案文档、技术实施文档、接口文档等撰写和维护。",True
39,24012-游戏后台开发（深圳）,中国,深圳,技术,"负责游戏及视频移动产品后台服务的需求分析及开发实现； 
负责游戏及视频移动产品后台服务的架构设计及性能优化；
负责视频和游戏结合的应用产品的后台服务设计及实现。
",True
40,21309-教育子公司—企鹅辅导后台开发工程师（深圳）,中国,深圳,技术,"本科及以上学历，计算机相关专业。
理解计算机原理，有扎实的数据结构和算法基础；
理解linux系统及其原理，熟悉常用数据结构的使用,熟悉TCP/IP、HTTP协议以及网络编程；
良好的编码和文档习惯，对代码美感的追求孜孜不倦；
熟悉c++/java/golang等任一种开发语言
熟悉常用的sql、nosql数据库原理，有阅读和理解优秀的开源系统代码者优先.
有一年或者以上golang语言开发经验者优先.
具有分布式系统设计和开发经验者优先.
",True
41,18302-新动作手游后台开发工程师（深圳）,中国,深圳,技术,"负责新动作手机游戏的服务器端系统开发工作；
负责部分游戏服务器端的架构工作；
负责服务器端部分的性能优化工作；
根据需要可能会负责部分前端的功能开发工作；",True
42,25664-Java后台开发工程师（腾讯云全资子公司）（重庆）,中国,重庆,技术,"参与技术方案和架构设计；
负责政务中台子产品研发工作。
（注：此岗位为腾讯集团旗下全资子公司编制岗位）",True
43,25664-golang后台开发工程师(腾讯云全资子公司)（重庆）,中国,重庆,技术,"负责服务器端研发维护工作，保障系统稳定性；
负责产品安全策略的制定；
负责产品后台功能模块的开发和维护，根据相关需求对功能性进行调整。
（备注：该岗位为腾讯集团旗下全资子公司编制）",True
44,28604-微信支付应用后台开发工程师,中国,深圳,技术,"负责信贷类金融系统的需求分析、方案设计、技术实现和运营维护；
负责贷款产品的后台架构长期优化，保障金融服务的安全。",True
45,25664-后台开发工程师（腾讯云全资子公司）（重庆）,中国,重庆,技术,"负责ToB，ToG协同产品后台模块设计和开发；
负责产品后台新功能迭代开发，保证按时高质量项目交付；
撰写相关技术文档，以及跨团队协作。
（注：此岗位为腾讯集团旗下全资子公司编制岗位）",True
46,15571-射击手游后台开发工程师（深圳）,中国,深圳,技术,"负责游戏服务器端设计与开发，参与分布式后台系统开发、游戏模式开发、底层优化工作；
与客户端开发以及策划设计人员进行良好的沟通，高效合作，进行设计、编码和调试；
严格按照运营流程处理事务，熟练和冷静的应对运营中的突发事件。",True
47,15579-海外游戏高级后台开发工程师（深圳）,中国,深圳,技术,"负责游戏后台架构设计、系统调优、关键逻辑系统设计和开发工作；
负责全球同服、复杂网络等重大技术难点的攻关；
负责游戏后台的可持续交付，外网疑难问题分析和解决。",True
48,15579-海外游戏后台开发工程师（深圳）,中国,深圳,技术,"负责游戏后台逻辑模块的设计和开发；
负责游戏服务器的运营维护和外网问题的处理；
负责后台技术问题的研究和处理。",True
49,22989-腾讯云经营平台后台开发工程师(腾讯云全资子公司）,中国,西安,技术,"1、负责腾讯云经营系统的后台架构的设计、开发与优化；
2、熟悉经营系统理念、常用方案
3、负责现有系统的设计、实现和优化；",True
